Water,Year,TotalP
Water87,1987,0.010333333
Water88,1988,0.013
Water89,1989,0.01175
Water90,1990,0.016333333
Water91,1991,0.009166667
Water92,1992,0.0085
Water93,1993,0.013
Water94,1994,0.008
Water95,1995,0.007
Water96,1997,0.024
Water97,1998,0.016
Water98,1999,0.016
Water00,2000,0.014
Water01,2001,0.013
Water02,2002,0.018
Water04,2004,0.004
Water05,2005,0.006333333
Water06,2006,0.006
Water07,2007,0.009
Water08,2008,0.016
Water10,2010,0.00675
Water11,2011,0.009125
Water12,2012,0.0164875
Water13,2013,0.0127
Water14,2014,0.01095
Water15,2015,0.005475
Water16,2016,0.0072
Water17,2017,0.012785714
Water18,2018,0.014014286
Water19,2019,0.006666667
Water20,2020,0.0194
